actual_video_tile_density,attention_ms,budget,flex_q_tile,full_mask_density,hard_head_fraction,hard_heads,hard_q_fraction,hard_q_tiles,kv_tile,kv_tiles,latency_ms,mode,pattern,peak_allocated_gib,pure_video_kv_tiles,pure_video_q_tiles,q_tile,q_tiles,requested_video_budget,retained_video_kv_tiles,router_as_percent_of_saved_attention,saved_attention_ms,speedup_vs_dense
,87.32980000786483,0.5,64,,0.0,,0.0,,,,87.32980000786483,dense_sage,,1.1746091842651367,,,,,,,,0.0,1.0
0.5,75.73090004734695,0.5,64,0.5268511198945982,0.0,,0.0,,64,275,75.73090004734695,sparse_sage_128x64,uniform,1.5372710227966309,268,134,128,138,0.5,134,,11.598899960517883,1.1531594098745195
0.5,113.45389997586608,0.5,128,0.5268511198945982,0.0,,0.0,,64,275,113.45389997586608,flex_128x64,uniform,0.9620227813720703,268,134,128,138,0.5,134,,-26.124099968001246,0.7697381934551535
0.5,151.5319999307394,0.5,64,0.5251305785123966,0.0,,0.0,,64,275,151.5319999307394,flex_64x64,uniform,0.9777698516845703,268,268,64,275,0.5,134,,-64.20219992287457,0.5763125943548596
,94.02389999013394,0.5,64,,0.0,,0.0,,,,94.02389999013394,sol,,1.5254955291748047,,,,,,,,-6.694099982269108,0.9288042722863917
0.5,97.463000100106,0.5,64,0.5268511198945982,1.0,56,0.1,13,64,275,97.463000100106,hybrid_sage_flex,uniform,2.0322203636169434,268,134,128,138,0.5,134,,-10.133200092241168,0.8960302875775097
