actual_video_tile_density,attention_ms,budget,flex_q_tile,full_mask_density,hard_head_fraction,hard_heads,hard_q_fraction,hard_q_tiles,kv_tile,kv_tiles,latency_ms,mode,pattern,peak_allocated_gib,pure_video_kv_tiles,pure_video_q_tiles,q_tile,q_tiles,requested_video_budget,retained_video_kv_tiles,router_as_percent_of_saved_attention,saved_attention_ms,speedup_vs_dense
,930.9897000202909,0.5,64,,0.0,,0.0,,,,930.9897000202909,dense_sage,,4.240818023681641,,,,,,,,0.0,1.0
0.5005117707267144,674.6689000865445,0.5,64,0.5159989594172737,0.0,,0.0,,64,992,674.6689000865445,sparse_sage_128x64,uniform,5.637993335723877,977,488,128,496,0.5,489,,256.32079993374646,1.3799208765971966
0.5005117707267144,1293.8041999004781,0.5,128,0.5159989594172737,0.0,,0.0,,64,992,1293.8041999004781,flex_128x64,uniform,3.7228779792785645,977,488,128,496,0.5,489,,-362.8144998801872,0.7195754195974201
0.5005117707267144,3168.2653999887407,0.5,64,0.5155030567117586,0.0,,0.0,,64,992,3168.2653999887407,flex_64x64,uniform,4.902644634246826,977,977,64,992,0.5,489,,-2237.2756999684498,0.29384839414766184
,3160.847600083798,0.5,64,,0.0,,0.0,,,,3160.847600083798,sol,,5.5081634521484375,,,,,,,,-2229.8579000635073,0.29453799037815337
0.5005117707267144,5833.088600076735,0.5,64,0.5159989594172737,1.0,56,0.1,49,64,992,5833.088600076735,hybrid_sage_flex,uniform,7.457882404327393,977,488,128,496,0.5,489,,-4902.098900056444,0.15960493039794452
